molecule,Gtherm_neutral,Gtherm_anion,Esol_neutral,Esol_anion,Gsol_neutral(Hartree),Gsol_anion(Hartree),Gsol_neutral(kcal/mol),Gsol_anion(kcal/mol),dG_rxn_sol(kcal/mol),E0(V)
PHENAZINE,0.13541,0.130566,-571.407608943,-571.515006666,-571.272198943,-571.3844406659999,-358478.446286523,-358548.878977881,0.0,-1.74
1_COHN2_OH_NH2_R1_R2_R6,0.175953,0.172132,-870.616973207,-870.724444139,-870.441020207,-870.5523121389999,-546209.5741490744,-546279.4108380317,0.5960024006199092,-1.7658446034699236
2_NO2_COCH3_CH3_R1_R9_R3,0.189804,0.185315,-967.727253415,-967.851528135,-967.537449415,-967.666213135,-607138.4573449573,-607219.2577381307,-10.367701815557666,-1.290422712997803
3_SH_NO2_CF3_R2_R6_R1,0.128487,0.124161,-1510.93484487,-1511.0622287,-1510.80635787,-1510.9380677000001,-948044.5868206458,-948127.2359243594,-12.216412355657667,-1.2102566083145714
4_C6H5_OCH3_CHO_R1_R2_R7,0.243481,0.239675,-1030.15368211,-1030.26938224,-1029.9102011100001,-1030.0297072399999,-646277.9203883351,-646352.9115604651,-4.558480771956965,-1.5423294405291632
5_CL_NO2_CHO_R2_R9_R8,0.125846,0.123931,-1348.68278799,-1348.81682878,-1348.55694199,-1348.6928977799998,-846231.618111203,-846316.93159303,-14.880790469003841,-1.0947205034905754
6_CH2=CH_SH_Cl_R2_R4_R3,0.1501,0.14572,-1506.49360961,-1506.60764556,-1506.34350961,-1506.46192556,-945244.1093718614,-945318.4164462301,-3.87438301066868,-1.5719941454980841
7_CH2=CH_CF3_COOH_R2_R3_R1,0.174388,0.170208,-1174.24116441,-1174.36084955,-1174.06677641,-1174.19064155,-736737.4687982628,-736815.195288399,-7.29379877820611,-1.4237171511120026
8_2CH3N_P_CH3_2_OCH3_R1_R2_R9,0.291219,0.286698,-1240.31148323,-1240.4150357,-1240.02026423,-1240.1283377000002,-778123.8759867031,-778191.6930617895,2.6156162715051323,-1.8534216326917796
9_P_CH3_2_Cl_C6H5_R1_R3_R8,0.25684,0.252463,-1682.46735628,-1682.57997512,-1682.21051628,-1682.32751212,-1055602.2388603466,-1055675.6548029091,-2.9832512044813484,-1.610636520338175
10_C6H5_F_Cl_R2_R6_R3,0.187867,0.183607,-1361.15704201,-1361.27362048,-1360.9691750099998,-1361.0900134800002,-854020.40604135,-854096.2332688214,-5.394536113366485,-1.5060753604194752
11_COOH_P_CH3_2_C6H5_R2_R8_R7,0.277524,0.273822,-1411.411667,-1411.5291101,-1411.134143,-1411.2552881,-885499.374939787,-885575.3945803429,-5.586949198041111,-1.4977317029599275
12_CONH2_2CH3N_CH3_R1_R2_R8,0.24988,0.245378,-913.277494597,-913.381744396,-913.027614597,-913.1363663960001,-572933.0454081489,-573001.2881407876,2.189958719187416,-1.8349637361427265
13_CN_OCH3_COOCH3_R1_R4_R6,0.195769,0.191295,-1005.90837021,-1006.02552514,-1005.71260121,-1005.83423014,-631093.7086726859,-631170.0319209213,-5.890556877478957,-1.4845662860466173
14_OCH3_CN_CONH2_R1_R3_R2,0.181888,0.178653,-946.757752193,-946.8804325,-946.575864193,-946.7017794999999,-593984.8739638852,-594063.8869522655,-8.58029702224303,-1.3679304010128341
15_NO2_CONH2_COCH3_R2_R7_R3,0.186058,0.183955,-1097.08733866,-1097.22128279,-1096.9012806599999,-1097.03732779,-688315.4257256759,-688400.7965241752,-14.938107141293585,-1.0922350660728681
16_CN_OH_NH2_R2_R6_R4,0.148943,0.144934,-794.177354805,-794.289758343,-794.028411805,-794.144824343,-498259.97466334375,-498333.0245786516,-2.6172239498700947,-1.6265086531429644
17_2CH3N_CONH2_C6H5_R1_R8_R4,0.298795,0.295236,-1104.95753396,-1105.06619985,-1104.6587389600002,-1104.77096385,-693183.3006260508,-693253.7227545497,0.010562859009951353,-1.7404580399379885
18_CF3_CONH2_SH_R2_R4_R3,0.155957,0.15095,-1475.17547397,-1475.29937827,-1475.01951697,-1475.14842827,-925588.0220743278,-925668.9150752795,-10.46030959370546,-1.2864069383935883
19_2CH3N_Cl_SH_R1_R4_R9,0.188503,0.184347,-1563.04613073,-1563.15681347,-1562.8576277299999,-1562.9724664700002,-980707.2271192245,-980779.2894621234,-1.629651540890336,-1.6693330063357905
20_Cl_COOH_CHO_R2_R1_R6,0.139254,0.135679,-1332.77803689,-1332.90297335,-1332.6387828900001,-1332.76729435,-836242.8300125211,-836323.4721102741,-10.209406394977123,-1.297286917524083
